region,trust_code,trust_name,date,measure,value
South West,RVJ,North Bristol NHS Trust,2023-11-20,CC flu beds,0
South West,REF,Royal Cornwall Hospitals NHS Trust,2023-11-20,CC flu beds,0
South West,RD1,Royal United Hospitals Bath NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,RNZ,Salisbury NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,RH5,Somerset NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,RA9,Torbay and South Devon NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,R0D,University Hospitals Dorset NHS Foundation Trust,2023-11-20,CC flu beds,0
South West,RK9,University Hospitals Plymouth NHS Trust,2023-11-20,CC flu beds,0
South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,2023-11-20,CC flu beds,0
East of England,RGM,Royal Papworth Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
London,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,2023-11-20,CC flu beds,0
London,RP6,Moorfields Eye Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
London,RAN,Royal National Orthopaedic Hospital NHS Trust,2023-11-20,CC flu beds,0
London,RPY,The Royal Marsden NHS Foundation Trust,2023-11-20,CC flu beds,0
Midlands,RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
Midlands,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
North West,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
North West,REP,Liverpool Women's NHS Foundation Trust,2023-11-20,CC flu beds,0
North West,RBV,The Christie NHS Foundation Trust,2023-11-20,CC flu beds,0
North West,RET,The Walton Centre NHS Foundation Trust,2023-11-20,CC flu beds,0
South East,RPC,Queen Victoria Hospital NHS Foundation Trust,2023-11-20,CC flu beds,0
North West,REN,The Clatterbridge Cancer Centre NHS Foundation Trust,2023-11-20,CC flu beds,0
East of England,RC9,Bedfordshire Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RGT,Cambridge University Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RWH,East and North Hertfordshire NHS Trust,2023-11-21,G&A flu beds,0
East of England,RDE,East Suffolk and North Essex NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RGP,James Paget University Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RAJ,Mid and South Essex NHS Foundation Trust,2023-11-21,G&A flu beds,1
East of England,RD8,Milton Keynes University Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,4
East of England,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RGN,North West Anglia NHS Foundation Trust,2023-11-21,G&A flu beds,0
East of England,RQW,The Princess Alexandra Hospital NHS Trust,2023-11-21,G&A flu beds,0
East of England,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2023-11-21,G&A flu beds,0
East of England,RWG,West Hertfordshire Teaching Hospitals NHS Trust,2023-11-21,G&A flu beds,0
East of England,RGR,West Suffolk NHS Foundation Trust,2023-11-21,G&A flu beds,1
London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2023-11-21,G&A flu beds,0
London,R1H,Barts Health NHS Trust,2023-11-21,G&A flu beds,10
London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RJ6,Croydon Health Services NHS Trust,2023-11-21,G&A flu beds,1
London,RVR,Epsom and St Helier University Hospitals NHS Trust,2023-11-21,G&A flu beds,2
London,RJ1,Guy's and St Thomas' NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RQX,Homerton Healthcare NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RYJ,Imperial College Healthcare NHS Trust,2023-11-21,G&A flu beds,0
London,RJZ,King's College Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RAX,Kingston Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RJ2,Lewisham and Greenwich NHS Trust,2023-11-21,G&A flu beds,4
London,R1K,London North West University Healthcare NHS Trust,2023-11-21,G&A flu beds,0
London,RAP,North Middlesex University Hospital NHS Trust,2023-11-21,G&A flu beds,0
London,RAL,Royal Free London NHS Foundation Trust,2023-11-21,G&A flu beds,2
London,RJ7,St George's University Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,3
London,RAS,The Hillingdon Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,0
London,RRV,University College London Hospitals NHS Foundation Trust,2023-11-21,G&A flu beds,1
London,RKE,Whittington Health NHS Trust,2023-11-21,G&A flu beds,0
Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,2023-11-21,G&A flu beds,0
Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,0
Midlands,RLT,George Eliot Hospital NHS Trust,2023-11-21,G&A flu beds,0
Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,2023-11-21,G&A flu beds,0
